batch_size_50_x,batch_size_50_val_acc,batch_size_50_val_loss,batch_size_50_train_acc,batch_size_50_train_loss,batch_size_100_x,batch_size_100_val_acc,batch_size_100_val_loss,batch_size_100_train_acc,batch_size_100_train_loss,batch_size_250_x,batch_size_250_val_acc,batch_size_250_val_loss,batch_size_250_train_acc,batch_size_250_train_loss,batch_size_500_x,batch_size_500_val_acc,batch_size_500_val_loss,batch_size_500_train_acc,batch_size_500_train_loss
0.065,62.634730538922156,0.6722889035054953,65.26763381690846,0.6680093906819821,0.13,64.53093812375249,0.662416583182765,66.8784392196098,0.6563683369755745,0.325,67.92415169660678,0.6471616597402663,70.0200100050025,0.6391673602163792,0.65,69.36127744510978,0.6364477710290388,72.19609804902451,0.6222352057695388
0.1275,68.22355289421158,0.6363971398608519,71.05552776388194,0.6269584476947785,0.255,72.69461077844312,0.6123115724208308,74.60730365182592,0.6018452486395836,0.6375,74.35129740518963,0.5811067933127994,78.80940470235117,0.5618781037628651,1.65,78.36327345309381,0.5383373932404951,84.80740370185093,0.4978195995092392
0.19,73.77245508982035,0.601190440725572,76.3031515757879,0.5854385252296924,0.38,76.2874251497006,0.573125257211573,79.36968484242121,0.5521701323986054,0.95,77.8443113772455,0.5459089335941133,83.50175087543772,0.5136663746088743,2.65,79.50099800399201,0.5183846733786843,88.64432216108054,0.4530237354338169
0.2525,75.52894211576846,0.5751071268379098,79.1295647823912,0.5564484515786171,0.505,78.08383233532935,0.5466166226302877,82.38119059529765,0.5182949657738208,1.325,79.00199600798403,0.5319375537690663,86.92346173086543,0.477618158608675,3.65,79.14171656686626,0.513366008346731,91.77588794397198,0.4239754661917686
0.315,76.78642714570859,0.5569760805309409,80.90045022511255,0.5309953366965056,0.63,79.12175648702595,0.5380415384675942,84.57728864432217,0.5004196736216545,1.6375,79.46107784431138,0.5237403696491605,88.42921460730365,0.459038470312953,4.65,79.12175648702595,0.5176573151891882,93.73686843421712,0.4058383494615555
0.3775,77.46506986027944,0.5468563092227029,82.15107553776889,0.5161778406798839,0.755,79.58083832335329,0.5316314971914479,85.84292146073037,0.48697735399007797,1.95,80.07984031936128,0.5246002872784933,90.19509754877438,0.44495220445096495,5.65,78.40319361277444,0.5383241989395835,94.87743871935967,0.39252540841698647
0.44,78.10379241516966,0.5403419623870661,83.59179589794897,0.5057719715684652,0.88,78.94211576846307,0.5281235645799076,86.25312656328164,0.480413212031126,2.325,79.22155688622755,0.5159525729361034,90.95547773886943,0.43276524133980276,6.65,78.18363273453093,0.526094913482666,96.02301150575288,0.38103491589426997
0.5025,78.26347305389221,0.535299550778795,84.5472736368184,0.49634113676846026,1.13,80.03992015968063,0.522259931938321,88.69934967483742,0.45646718233823774,2.6375,79.32135728542914,0.5107817905289787,91.935967983992,0.42307074218988416,7.65,77.72455089820359,0.5175453695383939,96.67333666833417,0.3725946255028248
0.565,78.80239520958084,0.5313332187067165,85.36768384192096,0.4871549554169178,1.255,80.33932135728543,0.5155463762143079,89.29964982491245,0.44759253337979316,2.95,79.16167664670658,0.5135876806009383,92.1560780390195,0.4183659441769123,8.65,77.12574850299401,0.5300136587836526,97.31365682841421,0.36484207063913343
0.6275,79.3812375249501,0.5291435742142176,86.33316658329164,0.48255671344697476,1.38,79.52095808383234,0.5226392886217903,89.00950475237619,0.4460149450600147,3.325,79.00199600798403,0.5169150403567723,93.3616808404202,0.4074478853493929,9.65,77.06586826347305,0.5407433672384783,97.86893446723361,0.3586296282708645
