optimizer_Adam_x,optimizer_Adam_val_acc,optimizer_Adam_val_loss,optimizer_Adam_train_acc,optimizer_Adam_train_loss,optimizer_SGD_x,optimizer_SGD_val_acc,optimizer_SGD_val_loss,optimizer_SGD_train_acc,optimizer_SGD_train_loss
0.65,70.59880239520957,0.6235604882240295,73.08154077038519,0.6191384315490722,0.65,49.06187624750499,0.6944794383915988,50.600300150075036,0.6927635475993157
1.65,78.64271457085829,0.547630862756209,84.56728364182091,0.49956242367625237,1.65,50.01996007984032,0.6923445463180542,51.435717858929465,0.6924627542495727
2.65,79.74051896207585,0.5298838507045399,89.75987993996999,0.45001060143113136,2.65,50.55888223552894,0.6926476142623208,51.82591295647824,0.6921929627656936
3.65,79.58083832335329,0.502538575367494,91.91095547773887,0.42414815798401834,3.65,51.31736526946108,0.6920861493457447,52.381190595297646,0.691948652267456
4.65,78.78243512974052,0.5272968682375822,93.49674837418709,0.4075461581349373,4.65,51.57684630738523,0.6915761232376099,52.856428214107055,0.6916852980852127
5.65,78.74251497005989,0.5074462890625,95.00750375187594,0.39178856238722803,5.65,52.17564870259481,0.6915207992900502,53.2816408204102,0.6914526402950287
6.65,77.86427145708583,0.5171712447296489,95.90295147573786,0.3814886674284935,6.65,52.79441117764471,0.6914042722095143,53.81190595297649,0.6912040337920189
7.65,77.78443113772455,0.5349488122896715,96.67833916958479,0.37216652780771253,7.65,53.17365269461078,0.6917567198926752,54.00700350175087,0.6909559592604637
8.65,77.50499001996008,0.5311688564040444,97.27863931965983,0.36525287181138993,8.65,53.572854291417165,0.6915273124521429,54.71735867933967,0.6907274812459946
9.65,77.24550898203593,0.5300591425462202,97.96398199099549,0.3578920416533947,9.65,53.77245508982036,0.690968930721283,54.817408704352175,0.6904913544654846
