n-grams_1_x,n-grams_1_val_acc,n-grams_1_val_loss,n-grams_1_train_acc,n-grams_1_train_loss,n-grams_2_x,n-grams_2_val_acc,n-grams_2_val_loss,n-grams_2_train_acc,n-grams_2_train_loss,n-grams_3_x,n-grams_3_val_acc,n-grams_3_val_loss,n-grams_3_train_acc,n-grams_3_train_loss,n-grams_4_x,n-grams_4_val_acc,n-grams_4_val_loss,n-grams_4_train_acc,n-grams_4_train_loss
0.65,75.84830339321357,0.6046419956467368,77.56378189094548,0.5983794718980789,0.65,76.64670658682634,0.670898898081346,78.91445722861431,0.6692893460392952,0.65,52.33532934131737,0.6846676143732938,50.59529764882441,0.6869897693395615,0.65,51.69660678642715,0.6889574961228804,49.77488744372186,0.6918315157294274
1.65,84.99001996007983,0.48629970442165027,88.91445722861431,0.45934138596057894,1.65,80.87824351297405,0.5581286278637972,83.54677338669335,0.5361597627401352,1.65,76.62674650698602,0.6575458754192699,79.78489244622311,0.6523927837610245,1.65,52.19560878243513,0.6883672042326494,54.667333666833414,0.6844231799244881
2.65,86.82634730538922,0.45653445612300525,92.27613806903452,0.4169365406036377,2.65,85.48902195608783,0.49370100823315705,89.6848424212106,0.4601150780916214,2.65,76.94610778443113,0.6027678630568765,81.89594797398699,0.5783944949507713,2.65,70.7185628742515,0.6733768419785933,76.8184092046023,0.66394694596529
3.65,87.66467065868264,0.44847523353316565,94.69734867433716,0.39267812743783,3.65,85.42914171656686,0.4807753264904022,91.29564782391195,0.43304185941815376,3.65,79.7005988023952,0.5678131797096946,85.4527263631816,0.5216031610965729,3.65,70.03992015968063,0.6472510641271417,76.55827913956979,0.6244717717170716
4.65,87.50499001996008,0.43989278782497754,96.1480740370185,0.37706175073981285,4.65,86.36726546906188,0.46577841585332697,93.6968484242121,0.4095090389251709,4.65,80.7185628742515,0.5367299264127557,88.1640820410205,0.48961071372032167,4.65,74.6506986027944,0.6158574602820657,82.86143071535768,0.5813307330012322
5.65,87.66467065868264,0.43449079448526556,96.63331665832916,0.3714874736964703,5.65,86.187624750499,0.4540967507795854,94.2471235617809,0.40282120630145074,5.65,80.77844311377245,0.5195325613021851,88.7743871935968,0.47848360762000086,5.65,74.97005988023952,0.5962908972393383,83.35167583791896,0.5663947194814682
6.65,87.64471057884232,0.4551366757262837,96.68334167083542,0.37028994783759117,6.65,86.14770459081836,0.48063802990046417,94.37718859429715,0.401357538998127,6.65,80.81836327345309,0.5220118435946378,89.00950475237619,0.47615399286150933,6.65,75.06986027944112,0.5987255464900624,83.991995997999,0.5631531968712806
7.65,87.68463073852296,0.43477559089660645,96.78339169584793,0.3689666837453842,7.65,86.14770459081836,0.46166918765414844,94.45222611305653,0.39980692565441134,7.65,80.91816367265469,0.52241096442396,89.11455727863932,0.47394596934318545,7.65,75.32934131736526,0.6035109216516669,84.13706853426713,0.5600088149309158
8.65,87.52495009980039,0.4486684067682786,96.84842421210605,0.36777417063713075,8.65,86.187624750499,0.4561504125595093,94.60730365182592,0.39826914817094805,8.65,80.81836327345309,0.5202016938816417,89.2496248124062,0.47177174538373945,8.65,75.48902195608783,0.5938171744346619,84.16708354177088,0.5570007726550102
9.65,87.44510978043913,0.44178768450563605,96.94347173586793,0.36667908951640127,9.65,86.16766467065868,0.4587911502881484,94.56228114057029,0.3972108505666256,9.65,80.83832335329342,0.5216291899030859,89.09954977488745,0.46989676654338836,9.65,75.26946107784431,0.5951484441757202,84.35217608804402,0.5537570998072624
